"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"CUBI^E","Customers Bancorp, Inc","24.335","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/cubi^e",
"CUBI^F","Customers Bancorp, Inc","24.4215","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/cubi^f",
"CVI","CVR Energy Inc.","11.96","$1.2B","2007","Energy","Integrated oil Companies","https://old.nasdaq.com/symbol/cvi",
"UAN","CVR Partners, LP","0.759","$84.43M","2011","Basic Industries","Agricultural Chemicals","https://old.nasdaq.com/symbol/uan",
"CVS","CVS Health Corporation","60.25","$78.85B","n/a","Health Care","Medical/Nursing Services","https://old.nasdaq.com/symbol/cvs",
"CELP","Cypress Environmental Partners, L.P. ","2.18","$26.62M","2014","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/celp",
"DHI","D.R. Horton, Inc.","73.06","$26.57B","n/a","Capital Goods","Homebuilding","https://old.nasdaq.com/symbol/dhi",
"DEH","D8 Holdings Corp.","9.7","$418.31M","2020","Finance","Business Services","https://old.nasdaq.com/symbol/deh",
"DEH.U","D8 Holdings Corp.","n/a","n/a","2020","n/a","n/a","https://old.nasdaq.com/symbol/deh.u",
"DEH.WS","D8 Holdings Corp.","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/deh.ws",
"DAN","Dana Incorporated","15.84","$2.29B","n/a","Capital Goods","Auto Parts:O.E.M.","https://old.nasdaq.com/symbol/dan",
"DHR","Danaher Corporation","232.66","$165.05B","n/a","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/dhr",
"DHR^A","Danaher Corporation","1551.54","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/dhr^a",
"DHR^B","Danaher Corporation","1350.39","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/dhr^b",
"DAC","Danaos Corporation","9.36","$214.97M","2006","Transportation","Marine Transportation","https://old.nasdaq.com/symbol/dac",
"DQ","DAQO New Energy Corp.","198.09","$2.75B","2010","Technology","Semiconductors","https://old.nasdaq.com/symbol/dq",
"DRI","Darden Restaurants, Inc.","99.53","$12.96B","n/a","Consumer Services","Restaurants","https://old.nasdaq.com/symbol/dri",
"DAR","Darling Ingredients Inc.","45.03","$7.29B","n/a","Consumer Non-Durables","Packaged Foods","https://old.nasdaq.com/symbol/dar",
"MSP","Datto Holding Corp.","29","$4.57B","2020","n/a","n/a","https://old.nasdaq.com/symbol/msp",
"DVA","DaVita Inc.","91.05","$11.11B","n/a","Health Care","Misc Health and Biotechnology Services","https://old.nasdaq.com/symbol/dva",
"DCP","DCP Midstream LP","14.62","$3.05B","n/a","Public Utilities","Natural Gas Distribution","https://old.nasdaq.com/symbol/dcp",
"DCP^B","DCP Midstream LP","18.11","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/dcp^b",
"DCP^C","DCP Midstream LP","17.8","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/dcp^c",
"DECK","Deckers Outdoor Corporation","255.21","$7.15B","1993","Consumer Non-Durables","Shoe Manufacturing","https://old.nasdaq.com/symbol/deck",
"DE","Deere & Company","239.53","$75.06B","n/a","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/de",
"DEX","Delaware Enhanced Global Dividend","9.07","$108.91M","2007","n/a","n/a","https://old.nasdaq.com/symbol/dex",
"DDF","Delaware Investments Dividend & Income Fund, Inc.","8.17","$62.81M","1993","n/a","n/a","https://old.nasdaq.com/symbol/ddf",
"DKL","Delek Logistics Partners, L.P.","27.3","$1.19B","2012","Energy","Natural Gas Distribution","https://old.nasdaq.com/symbol/dkl",
"DK","Delek US Holdings, Inc.","10.91","$803.6M","2017","Energy","Integrated oil Companies","https://old.nasdaq.com/symbol/dk",
"DELL","Dell Technologies Inc.","68.18","$50.91B","2018","Technology","Computer Manufacturing","https://old.nasdaq.com/symbol/dell",
"DAL","Delta Air Lines, Inc.","34","$21.68B","n/a","Transportation","Air Freight/Delivery Services","https://old.nasdaq.com/symbol/dal",
"DLX","Deluxe Corporation","25.66","$1.07B","n/a","Consumer Durables","Publishing","https://old.nasdaq.com/symbol/dlx",
"DEN","Denbury Inc.","16.95","$847.5M","2020","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/den",
"DBI","Designer Brands Inc.","5.32","$384.76M","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","https://old.nasdaq.com/symbol/dbi",
"DESP","Despegar.com, Corp.","7.33","$512.71M","2017","Consumer Services","Transportation Services","https://old.nasdaq.com/symbol/desp",
"DB","Deutsche Bank AG","9.65","$19.85B","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/db",
"DVN","Devon Energy Corporation","9.36","$3.58B","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/dvn",
"DHX","DHI Group, Inc.","2.06","$109.02M","2007","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/dhx",
"DHT","DHT Holdings, Inc.","5.04","$860.82M","2005","Transportation","Marine Transportation","https://old.nasdaq.com/symbol/dht",
"DEO","Diageo plc","138.48","$80.97B","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","https://old.nasdaq.com/symbol/deo",
"DSSI","Diamond S Shipping Inc.","6.06","$245.07M","2019","Consumer Services","Transportation Services","https://old.nasdaq.com/symbol/dssi",
"DRH","Diamondrock Hospitality Company","5.31","$1.06B","2005","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/drh",
"DRH^A","Diamondrock Hospitality Company","26.01","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/drh^a",
"DSX","Diana Shipping inc.","1.39","$124.09M","2005","Transportation","Marine Transportation","https://old.nasdaq.com/symbol/dsx",
"DSX^B","Diana Shipping inc.","22.2","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/dsx^b",
"DKS","Dick&#39;s Sporting Goods Inc","59.58","$5.31B","2002","Consumer Services","Other Specialty Stores","https://old.nasdaq.com/symbol/dks",
"DBD","Diebold Nixdorf Incorporated","7.77","$603.53M","n/a","Miscellaneous","Office Equipment/Supplies/Services","https://old.nasdaq.com/symbol/dbd",
"DMS","Digital Media Solutions, Inc.","7.58","n/a","2018","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/dms",
"DMS.WS","Digital Media Solutions, Inc.","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/dms.ws",
"DLR","Digital Realty Trust, Inc.","152.6","$42.54B","2004","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/dlr",
"DLR^C","Digital Realty Trust, Inc.","25.98","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/dlr^c",
"DLR^J","Digital Realty Trust, Inc.","26.35","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/dlr^j",
"DLR^K","Digital Realty Trust, Inc.","27.9662","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/dlr^k",
"DLR^L","Digital Realty Trust, Inc.","26.94","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/dlr^l",
"DDS","Dillard&#39;s, Inc.","48.44","$1.08B","n/a","Consumer Services","Department/Specialty Retail Stores","https://old.nasdaq.com/symbol/dds",
"DDT","Dillard&#39;s, Inc.","23.85","n/a","n/a","Consumer Services","Department/Specialty Retail Stores","https://old.nasdaq.com/symbol/ddt",
"DIN","Dine Brands Global, Inc.","57.73","$947.87M","n/a","Consumer Services","Restaurants","https://old.nasdaq.com/symbol/din",
"DFS","Discover Financial Services","68","$20.84B","n/a","Finance","Finance: Consumer Services","https://old.nasdaq.com/symbol/dfs",
"DMYT","dMY Technology Group, Inc.","12.2","$350.75M","2020","Finance","Business Services","https://old.nasdaq.com/symbol/dmyt",
"DMYT.U","dMY Technology Group, Inc.","n/a","n/a","2020","n/a","n/a","https://old.nasdaq.com/symbol/dmyt.u",
"DMYT.WS","dMY Technology Group, Inc.","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/dmyt.ws",
"DMYD","dMY Technology Group, Inc. II","10.03","$346.04M","2020","Finance","Business Services","https://old.nasdaq.com/symbol/dmyd",
"DMYD.U","dMY Technology Group, Inc. II","n/a","n/a","2020","n/a","n/a","https://old.nasdaq.com/symbol/dmyd.u",
"DMYD.WS","dMY Technology Group, Inc. II","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/dmyd.ws",
"DLB","Dolby Laboratories","71.72","$7.21B","2005","Miscellaneous","Multi-Sector Companies","https://old.nasdaq.com/symbol/dlb",
"DG","Dollar General Corporation","215.44","$53.65B","2009","Consumer Services","Department/Specialty Retail Stores","https://old.nasdaq.com/symbol/dg",
"D","Dominion Energy, Inc.","81.14","$68.17B","n/a","Public Utilities","Electric Utilities: Central","https://old.nasdaq.com/symbol/d",
"DCUE","Dominion Energy, Inc.","104.48","n/a","2019","Public Utilities","Electric Utilities: Central","https://old.nasdaq.com/symbol/dcue",
"DRUA","Dominion Energy, Inc.","26.3","n/a","2016","Public Utilities","Electric Utilities: Central","https://old.nasdaq.com/symbol/drua",
"DPZ","Domino&#39;s Pizza Inc","394.1","$15.53B","2004","Consumer Non-Durables","Food Distributors","https://old.nasdaq.com/symbol/dpz",
"UFS","Domtar Corporation","27.04","$1.49B","n/a","Basic Industries","Paper","https://old.nasdaq.com/symbol/ufs",
"DCI","Donaldson Company, Inc.","51.79","$6.55B","n/a","Capital Goods","Pollution Control Equipment","https://old.nasdaq.com/symbol/dci",
"DFIN","Donnelley Financial Solutions, Inc.","13.84","$468.2M","2016","Consumer Services","Other Consumer Services","https://old.nasdaq.com/symbol/dfin",
"LPG","Dorian LPG Ltd.","8.78","$447.97M","2014","Transportation","Marine Transportation","https://old.nasdaq.com/symbol/lpg",
"DSL","DoubleLine Income Solutions Fund","15.96","$1.63B","2013","n/a","n/a","https://old.nasdaq.com/symbol/dsl",
"DBL","DoubleLine Opportunistic Credit Fund","18.76","$280.53M","2012","n/a","n/a","https://old.nasdaq.com/symbol/dbl",
"DLY","DoubleLine Yield Opportunities Fund","17.37","n/a","2020","n/a","n/a","https://old.nasdaq.com/symbol/dly",
"PLOW","Douglas Dynamics, Inc.","36.1","$825.15M","2010","Capital Goods","Construction/Ag Equipment/Trucks","https://old.nasdaq.com/symbol/plow",
"DEI","Douglas Emmett, Inc.","25.2","$4.42B","2006","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/dei",
"DOV","Dover Corporation","116.27","$16.75B","n/a","Technology","Industrial Machinery/Components","https://old.nasdaq.com/symbol/dov",
"DVD","Dover Motorsports, Inc.","1.43","$52.04M","1996","Consumer Services","Services-Misc. Amusement & Recreation","https://old.nasdaq.com/symbol/dvd",
"DOW","Dow Inc.","48.53","$35.97B","2019","Basic Industries","Major Chemicals","https://old.nasdaq.com/symbol/dow",
"XPOA.U","DPCM Capital, Inc.","n/a","n/a","2020","n/a","n/a","https://old.nasdaq.com/symbol/xpoa.u",
"RDY","Dr. Reddy&#39;s Laboratories Ltd","67.29","$11.16B","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/rdy",
"DGNR","Dragoneer Growth Opportunities Corp.","11.39","$982.39M","2020","Finance","Business Services","https://old.nasdaq.com/symbol/dgnr",
"DGNR.U","Dragoneer Growth Opportunities Corp.","n/a","n/a","2020","n/a","n/a","https://old.nasdaq.com/symbol/dgnr.u",
"DGNR.WS","Dragoneer Growth Opportunities Corp.","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/dgnr.ws",
"DRD","DRDGOLD Limited","11.98","$1.02B","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/drd",
"DRQ","Dril-Quip, Inc.","25.72","$902.62M","1997","Energy","Metal Fabrications","https://old.nasdaq.com/symbol/drq",
"DS","Drive Shack Inc.","1.63","$109.56M","n/a","Consumer Services","Restaurants","https://old.nasdaq.com/symbol/ds",
"DS^B","Drive Shack Inc.","12.66","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ds^b",
"DS^C","Drive Shack Inc.","12.39","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ds^c",
"DS^D","Drive Shack Inc.","12.84","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ds^d",
"DTB","DTE Energy Company","25.95","n/a","2020","Public Utilities","Electric Utilities: Central","https://old.nasdaq.com/symbol/dtb",
"DTE","DTE Energy Company","125.15","$24.11B","n/a","Public Utilities","Electric Utilities: Central","https://old.nasdaq.com/symbol/dte",
"DTJ","DTE Energy Company","25.82","n/a","2016","Public Utilities","Electric Utilities: Central","https://old.nasdaq.com/symbol/dtj",
"DTP","DTE Energy Company","48.08","n/a","n/a","Public Utilities","Electric Utilities: Central","https://old.nasdaq.com/symbol/dtp",
"DTW","DTE Energy Company","26.8","n/a","2017","Public Utilities","Electric Utilities: Central","https://old.nasdaq.com/symbol/dtw",
"DTY","DTE Energy Company","26.5775","n/a","2016","Public Utilities","Electric Utilities: Central","https://old.nasdaq.com/symbol/dty",
"DCO","Ducommun Incorporated","34.68","$405.18M","n/a","Capital Goods","Military/Government/Technical","https://old.nasdaq.com/symbol/dco",
"DSE","Duff & Phelps Select MLP and Midstream Energy Fund","0.395","$10.36M","2014","n/a","n/a","https://old.nasdaq.com/symbol/dse",
"DNP","Duff & Phelps Utilities Income, Inc.","10.07","$3.06B","1987","n/a","n/a","https://old.nasdaq.com/symbol/dnp",
"DTF","Duff & Phelps Utilities Tax-Free Income, Inc.","14.34","$122.19M","1991","n/a","n/a","https://old.nasdaq.com/symbol/dtf",
"DUC","Duff & Phelps Utility & Corporate Bond Trust, Inc.","9.11","$250.48M","1993","n/a","n/a","https://old.nasdaq.com/symbol/duc",
"DPG","Duff & Phelps Utility and Infrastructure Fund Inc.","11","$417.23M","2011","n/a","n/a","https://old.nasdaq.com/symbol/dpg",
"DUK","Duke Energy Corporation","92.78","$68.23B","n/a","Public Utilities","Power Generation","https://old.nasdaq.com/symbol/duk",
"DUK^A","Duke Energy Corporation","28.55","n/a","n/a","Public Utilities","Power Generation","https://old.nasdaq.com/symbol/duk^a",
"DUKB","Duke Energy Corporation","27.86","n/a","2018","Public Utilities","Power Generation","https://old.nasdaq.com/symbol/dukb",
"DUKH","Duke Energy Corporation","25.82","n/a","n/a","Public Utilities","Power Generation","https://old.nasdaq.com/symbol/dukh",
"DRE","Duke Realty Corporation","38.95","$14.43B","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/dre",
"DNB","Dun & Bradstreet Holdings, Inc.","26.78","$11.32B","2020","Finance","Finance: Consumer Services","https://old.nasdaq.com/symbol/dnb",
"DD","DuPont de Nemours, Inc.","59.82","$43.9B","2017","Basic Industries","Major Chemicals","https://old.nasdaq.com/symbol/dd",
"DXC","DXC Technology Company","19.84","$5.04B","n/a","Technology","EDP Services","https://old.nasdaq.com/symbol/dxc",
"DY","Dycom Industries, Inc.","68.29","$2.17B","n/a","Basic Industries","Water Supply","https://old.nasdaq.com/symbol/dy",
"DLNG","Dynagas LNG Partners LP","2.39","$85.11M","n/a","Consumer Services","Marine Transportation","https://old.nasdaq.com/symbol/dlng",
"DLNG^A","Dynagas LNG Partners LP","22.6","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/dlng^a",
"DLNG^B","Dynagas LNG Partners LP","18.22","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/dlng^b",
"DT","Dynatrace, Inc.","43.32","$12.18B","2019","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/dt",
"DX","Dynex Capital, Inc.","16.02","$370.71M","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/dx",
"DX^B","Dynex Capital, Inc.","24.926","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/dx^b",
"DX^C","Dynex Capital, Inc.","22.2","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/dx^c",
"CTA^A","E.I. du Pont de Nemours and Company","86.0001","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/cta^a",
"CTA^B","E.I. du Pont de Nemours and Company","108.7","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/cta^b",
"ELF","e.l.f. Beauty, Inc.","21.62","$1.1B","2016","Consumer Non-Durables","Package Goods/Cosmetics","https://old.nasdaq.com/symbol/elf",
"EXP","Eagle Materials Inc","91.25","$3.81B","n/a","Capital Goods","Building Materials","https://old.nasdaq.com/symbol/exp",
"ECC           ","Eagle Point Credit Company Inc.","8.4","$266.07M","2014","n/a","n/a","https://old.nasdaq.com/symbol/ecc",
"ECCB","Eagle Point Credit Company Inc.","24.94","n/a","2016","n/a","n/a","https://old.nasdaq.com/symbol/eccb",
"ECCX","Eagle Point Credit Company Inc.","24.5","n/a","2018","n/a","n/a","https://old.nasdaq.com/symbol/eccx",
"ECCY","Eagle Point Credit Company Inc.","24.6592","n/a","2017","n/a","n/a","https://old.nasdaq.com/symbol/eccy",
"EIC","Eagle Point Income Company Inc.","13.155","n/a","2019","n/a","n/a","https://old.nasdaq.com/symbol/eic",
"ESTE","Earthstone Energy, Inc.","2.72","$177.03M","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/este",
"DEA","Easterly Government Properties, Inc.","22.17","$1.77B","2015","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/dea",
"EGP","EastGroup Properties, Inc.","138.14","$5.43B","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/egp",
"EMN","Eastman Chemical Company","87.32","$11.82B","n/a","Basic Industries","Major Chemicals","https://old.nasdaq.com/symbol/emn",
"KODK","Eastman Kodak Company","8.47","$641.04M","n/a","Miscellaneous","Industrial Machinery/Components","https://old.nasdaq.com/symbol/kodk",
"ETN","Eaton Corporation, PLC","109.81","$43.93B","n/a","Technology","Industrial Machinery/Components","https://old.nasdaq.com/symbol/etn",
"ETV","Eaton Vance Corporation","13.95","$1.27B","2005","n/a","n/a","https://old.nasdaq.com/symbol/etv",
"ETW","Eaton Vance Corporation","8.68","$932.98M","2005","n/a","n/a","https://old.nasdaq.com/symbol/etw",
"EV","Eaton Vance Corporation","62.06","$7.14B","n/a","Finance","Investment Managers","https://old.nasdaq.com/symbol/ev",
"EOI","Eaton Vance Enhance Equity Income Fund","14.72","$578.85M","2004","n/a","n/a","https://old.nasdaq.com/symbol/eoi",
"EOS","Eaton Vance Enhanced Equity Income Fund II","19.07","$947.75M","2005","n/a","n/a","https://old.nasdaq.com/symbol/eos",
"EFT","Eaton Vance Floating Rate Income Trust","12.78","$509.46M","2004","n/a","n/a","https://old.nasdaq.com/symbol/eft",
"EFL","Eaton Vance Floating-Rate 2022 Target Term Trust","8.52","$201.26M","2017","n/a","n/a","https://old.nasdaq.com/symbol/efl",
"EFF","Eaton vance Floating-Rate Income Plus Fund","14.6","$111.05M","2013","n/a","n/a","https://old.nasdaq.com/symbol/eff",
"EHT","Eaton Vance High Income 2021 Target Term Trust","9.5","$203.91M","2016","n/a","n/a","https://old.nasdaq.com/symbol/eht",
"ETX           ","Eaton Vance Municipal Income 2028 Term Trust","20.88","$226.46M","2013","n/a","n/a","https://old.nasdaq.com/symbol/etx",
"EOT","Eaton Vance Municipal Income Trust","20.53","$314.38M","2009","n/a","n/a","https://old.nasdaq.com/symbol/eot",
"EVN","Eaton Vance Municipal Income Trust","12.67","$502.58M","1999","n/a","n/a","https://old.nasdaq.com/symbol/evn",
"ETJ","Eaton Vance Risk-Managed Diversified Equity Income Fund","9.75","$622.34M","2007","n/a","n/a","https://old.nasdaq.com/symbol/etj",
"EFR","Eaton Vance Senior Floating-Rate Fund","12.43","$458.02M","2003","n/a","n/a","https://old.nasdaq.com/symbol/efr",
"EVF","Eaton Vance Senior Income Trust","5.95","$225.31M","1998","n/a","n/a","https://old.nasdaq.com/symbol/evf",
"EVG","Eaton Vance Short Diversified Income Fund","11.96","$213.85M","2005","n/a","n/a","https://old.nasdaq.com/symbol/evg",
"EVT","Eaton Vance Tax Advantaged Dividend Income Fund","19.78","$1.45B","2003","n/a","n/a","https://old.nasdaq.com/symbol/evt",
"ETO","Eaton Vance Tax-Advantage Global Dividend Opp","21.44","$336.21M","2004","n/a","n/a","https://old.nasdaq.com/symbol/eto",
"ETG","Eaton Vance Tax-Advantaged Global Dividend Income Fund","15.29","$1.17B","2004","n/a","n/a","https://old.nasdaq.com/symbol/etg",
"ETB","Eaton Vance Tax-Managed Buy-Write Income Fund","13.68","$367.76M","2005","n/a","n/a","https://old.nasdaq.com/symbol/etb",
"EXD","Eaton Vance Tax-Managed Buy-Write Strategy Fund","9.2","$89.53M","2010","n/a","n/a","https://old.nasdaq.com/symbol/exd",
"ETY","Eaton Vance Tax-Managed Diversified Equity Income Fund","11","$1.67B","2006","n/a","n/a","https://old.nasdaq.com/symbol/ety",
"EXG","Eaton Vance Tax-Managed Global Diversified Equity Income Fund","7.74","$2.34B","2007","n/a","n/a","https://old.nasdaq.com/symbol/exg",
"ECL","Ecolab Inc.","204.87","$58.47B","n/a","Basic Industries","Package Goods/Cosmetics","https://old.nasdaq.com/symbol/ecl",
"EC","Ecopetrol S.A.","9.78","$20.11B","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/ec",
"EPC","Edgewell Personal Care","28.39","$1.54B","n/a","Consumer Non-Durables","Package Goods/Cosmetics","https://old.nasdaq.com/symbol/epc",
"EIX","Edison International","60.49","$22.88B","n/a","Public Utilities","Electric Utilities: Central","https://old.nasdaq.com/symbol/eix",
"EW","Edwards Lifesciences Corporation","80.41","$49.99B","n/a","Health Care","Industrial Specialties","https://old.nasdaq.com/symbol/ew",
"EP^C","El Paso Corporation","47.88","n/a","n/a","Public Utilities","Natural Gas Distribution","https://old.nasdaq.com/symbol/ep^c",
"ELAN","Elanco Animal Health Incorporated","31.38","$14.81B","2018","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/elan",
"ELAT","Elanco Animal Health Incorporated","48.92","n/a","2020","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/elat",
"ESTC","Elastic N.V.","109","$9.4B","2018","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/estc",
"EGO","Eldorado Gold Corporation","13.26","$2.31B","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/ego",
"ESI","Element Solutions Inc.","12.53","$3.12B","2014","Basic Industries","Major Chemicals","https://old.nasdaq.com/symbol/esi",
"ELVT","Elevate Credit, Inc.","2.76","$112.58M","2017","Finance","Finance: Consumer Services","https://old.nasdaq.com/symbol/elvt",
"LLY","Eli Lilly and Company","142.38","$136.18B","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/lly",
"EFC","Ellington Financial Inc.","13.14","$575.24M","2010","Finance","Real Estate","https://old.nasdaq.com/symbol/efc",
"EFC^A","Ellington Financial Inc.","20.61","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/efc^a",
"EARN","Ellington Residential Mortgage REIT","11.41","$140.57M","2013","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/earn",
"AKO.A","Embotelladora Andina S.A.","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ako.a",
"AKO.B","Embotelladora Andina S.A.","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ako.b",
"ERJ","Embraer S.A.","4.99","$918.38M","2000","Capital Goods","Aerospace","https://old.nasdaq.com/symbol/erj",
"EME","EMCOR Group, Inc.","70.67","$3.88B","n/a","Capital Goods","Engineering & Construction","https://old.nasdaq.com/symbol/eme",
"EEX","Emerald Holding, Inc.","2.89","$206.58M","2017","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/eex",
"EBS","Emergent Biosolutions, Inc.","96.11","$5.09B","2006","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/ebs",
"EMR","Emerson Electric Company","70.02","$41.84B","n/a","Energy","Consumer Electronics/Appliances","https://old.nasdaq.com/symbol/emr",
"ESRT","Empire State Realty Trust, Inc.","6.23","$1.81B","2013","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/esrt",
"EIG","Employers Holdings Inc","32.54","$952.48M","2007","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/eig",
"EMPW.U","Empower Ltd.","n/a","n/a","2020","n/a","n/a","https://old.nasdaq.com/symbol/empw.u",
"EDN","Empresa Distribuidora Y Comercializadora Norte S.A. (Edenor)","3.4786","$152.2M","2007","Public Utilities","Electric Utilities: Central","https://old.nasdaq.com/symbol/edn",
"ENBL","Enable Midstream Partners, LP","5.15","$2.24B","2014","Public Utilities","Natural Gas Distribution","https://old.nasdaq.com/symbol/enbl",
"ENB","Enbridge Inc","28.92","$58.57B","n/a","Energy","Natural Gas Distribution","https://old.nasdaq.com/symbol/enb",
"ENBA","Enbridge Inc","25.6","n/a","2018","Energy","Natural Gas Distribution","https://old.nasdaq.com/symbol/enba",
"EHC","Encompass Health Corporation","67.39","$6.7B","n/a","Health Care","Hospital/Nursing Management","https://old.nasdaq.com/symbol/ehc",
"DAVA","Endava plc","67.49","$3.71B","2018","Technology","EDP Services","https://old.nasdaq.com/symbol/dava",
"EXK","Endeavour Silver Corporation","3.54","$548.66M","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/exk",
"ENIA","Enel Americas S.A.","7","$10.68B","n/a","Public Utilities","Electric Utilities: Central","https://old.nasdaq.com/symbol/enia",
"ENIC","Enel Chile S.A.","3.47","$4.8B","2016","Public Utilities","Electric Utilities: Central","https://old.nasdaq.com/symbol/enic",
"ENR","Energizer Holdings, Inc.","41.29","$2.83B","2015","Miscellaneous","Industrial Machinery/Components","https://old.nasdaq.com/symbol/enr",
"ENR^A","Energizer Holdings, Inc.","87.7","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/enr^a",
"ET","Energy Transfer L.P.","6.3","$16.98B","n/a","Public Utilities","Natural Gas Distribution","https://old.nasdaq.com/symbol/et",
"ETP^C","Energy Transfer Operating, L.P.","19.5","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/etp^c",
"ETP^D","Energy Transfer Operating, L.P.","19.8","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/etp^d",
"ETP^E","Energy Transfer Operating, L.P.","20.8","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/etp^e",
"EPAC","Enerpac Tool Group Corp.","19.74","$1.18B","n/a","Technology","Industrial Machinery/Components","https://old.nasdaq.com/symbol/epac",
"ERF","Enerplus Corporation","2.05","$456.22M","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/erf",
"ENS","Enersys","74.24","$3.15B","2004","Consumer Non-Durables","Telecommunications Equipment","https://old.nasdaq.com/symbol/ens",
"E","ENI S.p.A.","15.2","$26.93B","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/e",
"ENLC","EnLink Midstream, LLC","2.99","$1.46B","n/a","Public Utilities","Natural Gas Distribution","https://old.nasdaq.com/symbol/enlc",
"EBF","Ennis, Inc.","16.52","$431.07M","n/a","Consumer Services","Office Equipment/Supplies/Services","https://old.nasdaq.com/symbol/ebf",
"ENVA","Enova International, Inc.","17.41","$618.73M","2014","Finance","Finance: Consumer Services","https://old.nasdaq.com/symbol/enva",
"NPO","EnPro Industries","62.34","$1.28B","n/a","Basic Industries","Metal Fabrications","https://old.nasdaq.com/symbol/npo",
"ETM","Entercom Communications Corp.","1.53","$211.15M","1999","Consumer Services","Broadcasting","https://old.nasdaq.com/symbol/etm",
